PID,NAME,RA,DEC,EPOC
HYDRA_D,HYDRA_D_0001,10:33:25.05,-34:38:06.2,2000.
HYDRA_D,HYDRA_D_0002,10:26:42.73,-34:37:54.8,2000.
HYDRA_D,HYDRA_D_0003,10:33:27.55,-36:00:19.1,2000.
HYDRA_D,HYDRA_D_0004,10:26:40.12,-36:00:29.2,2000.
HYDRA,HYDRA_0001,10:04:04.0678,-22:30:55.9281,2000.
HYDRA,HYDRA_0002,10:10:10.1695,-22:30:55.9281,2000.
HYDRA,HYDRA_0003,10:16:16.2712,-22:30:55.9281,2000.
HYDRA,HYDRA_0004,10:22:22.3729,-22:30:55.9281,2000.
HYDRA,HYDRA_0005,10:28:28.4746,-22:30:55.9281,2000.
HYDRA,HYDRA_0006,10:34:34.5763,-22:30:55.9281,2000.
HYDRA,HYDRA_0007,10:40:40.678,-22:30:55.9281 ,2000.
HYDRA,HYDRA_0008,10:46:46.7797,-22:30:55.9281,2000.
HYDRA,HYDRA_0009,10:52:52.8814,-22:30:55.9281,2000.
HYDRA,HYDRA_0010,10:58:58.9831,-22:30:55.9281,2000.
HYDRA,HYDRA_0011,10:03:04.6154,-23:54:31.2991,2000.
HYDRA,HYDRA_0012,10:09:13.8462,-23:54:31.2991,2000.
HYDRA,HYDRA_0013,10:15:23.0769,-23:54:31.2991,2000.
HYDRA,HYDRA_0014,10:21:32.3077,-23:54:31.2991,2000.
HYDRA,HYDRA_0015,10:27:41.5385,-23:54:31.2991,2000.
HYDRA,HYDRA_0016,10:33:50.7692,-23:54:31.2991,2000.
HYDRA,HYDRA_0017,10:40:00,-23:54:31.2991     ,2000.
HYDRA,HYDRA_0018,10:46:09.2308,-23:54:31.2991,2000.
HYDRA,HYDRA_0019,10:52:18.4615,-23:54:31.2991,2000.
HYDRA,HYDRA_0020,10:58:27.6923,-23:54:31.2991,2000.
HYDRA,HYDRA_0021,10:04:40.5195,-25:18:00.5833,2000.
HYDRA,HYDRA_0022,10:10:54.5455,-25:18:00.5833,2000.
HYDRA,HYDRA_0023,10:17:08.5714,-25:18:00.5833,2000.
HYDRA,HYDRA_0024,10:23:22.5974,-25:18:00.5833,2000.
HYDRA,HYDRA_0025,10:29:36.6234,-25:18:00.5833,2000.
HYDRA,HYDRA_0026,10:35:50.6494,-25:18:00.5833,2000.
HYDRA,HYDRA_0027,10:42:04.6753,-25:18:00.5833,2000.
HYDRA,HYDRA_0028,10:48:18.7013,-25:18:00.5833,2000.
HYDRA,HYDRA_0029,10:54:32.7273,-25:18:00.5833,2000.
HYDRA,HYDRA_0030,10:00:00,-26:41:22.8923     ,2000.
HYDRA,HYDRA_0031,10:06:18.9474,-26:41:22.8923,2000.
HYDRA,HYDRA_0032,10:12:37.8947,-26:41:22.8923,2000.
HYDRA,HYDRA_0033,10:18:56.8421,-26:41:22.8923,2000.
HYDRA,HYDRA_0034,10:25:15.7895,-26:41:22.8923,2000.
HYDRA,HYDRA_0035,10:31:34.7368,-26:41:22.8923,2000.
HYDRA,HYDRA_0036,10:37:53.6842,-26:41:22.8923,2000.
HYDRA,HYDRA_0037,10:44:12.6316,-26:41:22.8923,2000.
HYDRA,HYDRA_0038,10:50:31.5789,-26:41:22.8923,2000.
HYDRA,HYDRA_0039,10:56:50.5263,-26:41:22.8923,2000.
HYDRA,HYDRA_0040,10:05:18.5841,-28:04:38.1627,2000.
HYDRA,HYDRA_0041,10:11:40.885,-28:04:38.1627 ,2000.
HYDRA,HYDRA_0042,10:18:03.1858,-28:04:38.1627,2000.
HYDRA,HYDRA_0043,10:24:25.4867,-28:04:38.1627,2000.
HYDRA,HYDRA_0044,10:30:47.7876,-28:04:38.1627,2000.
HYDRA,HYDRA_0045,10:37:10.0885,-28:04:38.1627,2000.
HYDRA,HYDRA_0046,10:43:32.3894,-28:04:38.1627,2000.
HYDRA,HYDRA_0047,10:49:54.6903,-28:04:38.1627,2000.
HYDRA,HYDRA_0048,10:56:16.9912,-28:04:38.1627,2000.
HYDRA,HYDRA_0049,10:00:32.287,-29:27:47.436  ,2000.
HYDRA,HYDRA_0050,10:06:59.7309,-29:27:47.436 ,2000.
HYDRA,HYDRA_0051,10:13:27.1749,-29:27:47.436 ,2000.
HYDRA,HYDRA_0052,10:19:54.6188,-29:27:47.436 ,2000.
HYDRA,HYDRA_0053,10:26:22.0628,-29:27:47.436 ,2000.
HYDRA,HYDRA_0054,10:32:49.5067,-29:27:47.436 ,2000.
HYDRA,HYDRA_0055,10:39:16.9507,-29:27:47.436 ,2000.
HYDRA,HYDRA_0056,10:45:44.3946,-29:27:47.436 ,2000.
HYDRA,HYDRA_0057,10:52:11.8386,-29:27:47.436 ,2000.
HYDRA,HYDRA_0058,10:58:39.2825,-29:27:47.436 ,2000.
HYDRA,HYDRA_0059,10:02:10.9091,-30:50:49.656 ,2000.
HYDRA,HYDRA_0060,10:08:43.6364,-30:50:49.656 ,2000.
HYDRA,HYDRA_0061,10:15:16.3636,-30:50:49.656 ,2000.
HYDRA,HYDRA_0062,10:21:49.0909,-30:50:49.656 ,2000.
HYDRA,HYDRA_0063,10:28:21.8182,-30:50:49.656 ,2000.
HYDRA,HYDRA_0064,10:34:54.5455,-30:50:49.656 ,2000.
HYDRA,HYDRA_0065,10:41:27.2727,-30:50:49.656 ,2000.
HYDRA,HYDRA_0066,10:48:00,-30:50:49.656	     ,2000.
HYDRA,HYDRA_0067,10:54:32.7273,-30:50:49.656 ,2000.
HYDRA,HYDRA_0068,10:03:52.2581,-32:13:44.7973,2000.
HYDRA,HYDRA_0069,10:10:30.4147,-32:13:44.7973,2000.
HYDRA,HYDRA_0070,10:17:08.5714,-32:13:44.7973,2000.
HYDRA,HYDRA_0071,10:23:46.7281,-32:13:44.7973,2000.
HYDRA,HYDRA_0072,10:30:24.8848,-32:13:44.7973,2000.
